date,spread_return,test_year,selected_horizon,selected_direction
2017-07-18,-0.0007007586869613005,2017,10,reversal
2017-07-19,-0.0036350743172398167,2017,10,reversal
2017-07-20,-0.0035797658423870502,2017,10,reversal
2017-07-21,-0.002067616669076278,2017,10,reversal
2017-07-24,0.017726425789705014,2017,10,reversal
2017-07-25,-0.003884668180454731,2017,10,reversal
2017-07-26,0.009119953135506953,2017,10,reversal
2017-07-27,0.006452265014056957,2017,10,reversal
2017-07-28,0.0020285182896956798,2017,10,reversal
2017-07-31,-0.003681605679546185,2017,10,reversal
2017-08-01,0.0010145889507182538,2017,10,reversal
2017-08-02,0.005438435814998777,2017,10,reversal
2017-08-03,0.0007261849336471003,2017,10,reversal
2017-08-04,-0.0008836196360583082,2017,10,reversal
2017-08-07,-0.005616249724931399,2017,10,reversal
2017-08-08,-0.006663325634103856,2017,10,reversal
2017-08-09,-0.010892534337847648,2017,10,reversal
2017-08-10,0.01145704241808998,2017,10,reversal
2017-08-11,0.005377843599062116,2017,10,reversal
2017-08-14,-0.001648030782156873,2017,10,reversal
2017-08-15,0.0010406165919737316,2017,10,reversal
2017-08-16,-0.0014128412408157438,2017,10,reversal
2017-08-17,-0.00027531805243703484,2017,10,reversal
2017-08-18,-0.006190948123238426,2017,10,reversal
2017-08-21,0.003297635794821707,2017,10,reversal
2017-08-22,0.006041897408868802,2017,10,reversal
2017-08-23,-0.0011698487802012437,2017,10,reversal
2017-08-24,0.006952373424692316,2017,10,reversal
2017-08-25,-0.0016425644678193631,2017,10,reversal
2017-08-28,-0.002771750846415766,2017,10,reversal
2017-08-29,-0.0005072272370759473,2017,10,reversal
2017-08-30,-0.002463086062261332,2017,10,reversal
2017-08-31,0.004547180642559656,2017,10,reversal
2017-09-01,-0.004761165187669725,2017,10,reversal
2017-09-05,-0.004723091959022707,2017,10,reversal
2017-09-06,-0.012498989858625175,2017,10,reversal
2017-09-07,-0.005345124211691488,2017,10,reversal
2017-09-08,0.008044442388979525,2017,10,reversal
2017-09-11,0.0025785131494592828,2017,10,reversal
2017-09-12,0.0038278604119993285,2017,10,reversal
2017-09-13,0.00029841342594865154,2017,10,reversal
2017-09-14,0.019442968105679227,2017,10,reversal
2017-09-15,0.007415922860864399,2017,10,reversal
2017-09-18,-0.0013346066112266855,2017,10,reversal
2017-09-19,-0.008476736812552788,2017,10,reversal
2017-09-20,-0.006275617112262289,2017,10,reversal
2017-09-21,-0.002242525274376672,2017,10,reversal
2017-09-22,-0.011538348219907457,2017,10,reversal
2017-09-25,0.003941308812302191,2017,10,reversal
2017-09-26,-0.0006936062042989912,2017,10,reversal
2017-09-27,-0.0015332647813300795,2017,10,reversal
2017-09-28,0.005764464540036573,2017,10,reversal
2017-09-29,-0.006588341985098422,2017,10,reversal
2017-10-02,0.00040985635877098785,2017,10,reversal
2017-10-03,0.004997636970279551,2017,10,reversal
2017-10-04,-0.0021586341203574614,2017,10,reversal
2017-10-05,0.0013629619206017795,2017,10,reversal
2017-10-06,0.002750440134351384,2017,10,reversal
2017-10-09,0.005391788016481181,2017,10,reversal
2017-10-10,-0.007969533837022301,2017,10,reversal
2017-10-11,-0.0018573202064227081,2017,10,reversal
2017-10-12,-0.000557466886218616,2017,10,reversal
2017-10-13,0.001840711018841412,2017,10,reversal
2017-10-16,0.010245903098219678,2017,10,reversal
2017-10-17,0.0088086338303909,2017,10,reversal
2017-10-18,0.004747377351847959,2017,10,reversal
2017-10-19,0.003279509504801591,2017,10,reversal
2017-10-20,0.000674679204094175,2017,10,reversal
2017-10-23,-0.0032911434626412992,2017,10,reversal
2017-10-24,-0.004893994142676728,2017,10,reversal
2017-10-25,-0.009756181915313543,2017,10,reversal
2017-10-26,0.0012503402497491371,2017,10,reversal
2017-10-27,-0.014535559546069441,2017,10,reversal
2017-10-30,0.0027694800100950268,2017,10,reversal
2017-10-31,0.002103732853680895,2017,10,reversal
2017-11-01,-0.00382490956100634,2017,10,reversal
2017-11-02,0.0033801762974732703,2017,10,reversal
2017-11-03,-0.00044063174781405756,2017,10,reversal
2017-11-06,0.0036583651011096066,2017,10,reversal
2017-11-07,-0.01013510998976639,2017,10,reversal
2017-11-08,0.007025865020297084,2017,10,reversal
2017-11-09,-0.00031488709640763445,2017,10,reversal
2017-11-10,0.0005101254987597836,2017,10,reversal
