date,gross_return,gross_exposure,net_exposure,beta_exposure,turnover,transaction_cost,net_return
2019-01-25,-0.000557111109599655,0.7997104489845329,1.6653345369377348e-16,-0.0012868438751769753,0.3134021988596051,0.00015670109942980253,-0.0007138122090294575
2019-01-28,-0.00014018125847738367,0.83031958505344,-6.938893903907228e-18,-0.006441513905828672,0.5156086088703079,0.00025780430443515394,-0.0003979855629125376
2019-01-29,0.002272499065690086,0.8990306431360712,1.249000902703301e-16,0.003384976142376296,0.38101250223921695,0.0001905062511196085,0.0020819928145704774
2019-01-30,0.00224061592019934,0.6370625497042223,1.942890293094024e-16,0.002972629797860192,0.41065033711538207,0.00020532516855769104,0.002035290751641649
2019-01-31,-0.0007240598863688566,0.5082820427677467,4.961309141293668e-16,0.0019118320640235525,0.354553365963268,0.00017727668298163398,-0.0009013365693504906
2019-02-01,0.0013786583254210801,0.5498207956853312,-3.469446951953614e-17,-0.006143091468328352,0.5510166275506835,0.00027550831377534175,0.0011031500116457384
2019-02-04,0.005656968972087067,0.9785897206449433,3.469446951953614e-17,-0.002272565811308358,0.8763561081559205,0.00043817805407796027,0.005218790918009107
2019-02-05,-0.0009539609724809856,0.9307155106190007,-1.1796119636642288e-16,-0.003444077802561535,0.6855196358823546,0.00034275981794117734,-0.001296720790422163
2019-02-06,0.0015548415521292444,0.7472891234831299,-2.393918396847994e-16,-0.0004481822573456015,0.5600796162637922,0.00028003980813189614,0.0012748017439973482
2019-02-07,-0.0019810965107109357,0.9205238625801428,-4.85722573273506e-17,-0.015416968388452915,0.6187722630570459,0.00030938613152852297,-0.0022904826422394586
2019-02-08,4.456955727848611e-05,0.949637768123324,-1.5959455978986625e-16,-0.00027935515472516867,0.639319693791927,0.0003196598468959635,-0.0002750902896174774
2019-02-11,0.002720537184386557,0.688131496698976,9.71445146547012e-17,-0.002581632878819993,0.6425006556125379,0.000321250327806269,0.002399286856580288
2019-02-12,-0.0006555343656317495,0.8649479723826177,1.8735013540549517e-16,-0.0018613401962148668,0.5925273731652849,0.00029626368658264247,-0.000951798052214392
2019-02-13,0.0032613036100928613,0.9789901168399968,-2.7755575615628914e-17,0.004858321108443413,0.2870085950244178,0.00014350429751220888,0.0031177993125806524
2019-02-14,0.00428067006222959,0.6378727161429242,3.122502256758253e-16,-0.0011817990237402258,0.7461037831213179,0.00037305189156065896,0.003907618170668931
2019-02-15,0.0008025521064213162,0.8611963104552158,2.7755575615628914e-17,0.0025766473248157104,0.6025689562971352,0.00030128447814856764,0.0005012676282727486
2019-02-19,-0.00027025383754827794,0.5083238032151146,7.979727989493313e-17,-0.0010300639938707421,0.6837022602738734,0.0003418511301369367,-0.0006121049676852147
2019-02-20,0.00031277140059216154,0.4391329929381216,1.5612511283791264e-16,0.00012593159919652847,0.25356432576862364,0.0001267821628843118,0.00018598923770784973
2019-02-21,-0.0011202213911215195,0.36145936779223037,1.3877787807814457e-17,0.0015941554038145234,0.2711602807935601,0.00013558014039678006,-0.0012558015315182996
2019-02-22,0.0016400887803564809,0.513120737934641,-1.0408340855860843e-17,0.00020392739789520942,0.26444105737540563,0.0001322205286877028,0.0015078682516687781
2019-02-25,-0.0009000913021911317,0.4385905786508825,1.5612511283791264e-16,-0.0020771804243709807,0.3241863248628466,0.0001620931624314233,-0.001062184464622555
2019-02-26,-0.002955704045855742,0.46494460098444024,1.3530843112619095e-16,-0.0027242286245220647,0.27024866378977913,0.00013512433189488956,-0.0030908283777506314
2019-02-27,0.0008781949356780918,0.37859041394546855,-4.718447854656915e-16,0.0002817812785765317,0.21065538988506866,0.00010532769494253433,0.0007728672407355575
2019-02-28,0.001039110914581952,0.6738381406027815,-5.620504062164855e-16,-0.00270974573634648,0.46031615655414504,0.00023015807827707251,0.0008089528363048796
2019-03-01,0.002180052980937566,0.8670403371593313,1.457167719820518e-16,-0.0002831541322833517,0.5429144163660434,0.0002714572081830217,0.0019085957727545443
